item_type,run_id,session,subtype,value,times_drawn,expected_times,draws_since,last_seen,baseline_priority_score,why_flagged,source_url
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,33,15,,4454,2022-04-16,23.02,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,22,15,,3320,2023-04-29,17.35,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,59,82,,1056,2025-05-22,11.31,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,093,1,9.76,9403,1999-03-01,10.302468,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,69,67,,718,2025-09-12,7.93,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,55,23,,1378,2025-02-04,7.64,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,650,4,9.76,7003,2006-10-30,7.594599,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,752,3,9.76,6665,2007-11-28,7.358989,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,804,9,11.97,7018,2007-02-23,7.268466,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,353,21,25.1,6959,2020-01-02,7.122901,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,270,3,11.97,6333,2009-01-05,7.08449,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,536,5,11.97,6136,2009-07-21,6.72034,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,081,5,9.76,6037,2009-10-28,6.525942,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,078,20,25.1,6110,2020-10-11,6.313674,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,234,65,58.54,1036,2023-07-08,6.215151,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,651,20,25.1,5936,2020-12-08,6.13966,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,273,4,11.97,5370,2011-08-26,6.037626,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,815,4,9.76,5407,2011-07-20,5.998272,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,134,5,9.76,5421,2011-07-06,5.909816,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,002,7,9.76,5520,2011-03-29,5.803918,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,13,222,,504,2025-11-22,5.79,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN002,Midday|Evening|Night,All box combinations,467,139,150.56,942,2025-06-29,5.727729,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,591,19,25.1,5453,2021-05-18,5.696462,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,953,20,25.1,5483,2021-05-08,5.686624,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,388,7,9.76,5338,2011-09-27,5.621881,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,222,7,11.97,5170,2012-03-13,5.586933,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,222,7,11.97,5170,2012-03-13,5.586933,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,078,11,11.97,5457,2011-05-31,5.53986,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,391,10,11.97,5303,2011-11-01,5.469351,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,569,65,71.78,890,2023-12-01,5.433265,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,600,3,9.76,4737,2013-05-20,5.430594,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,109,24,25.1,5355,2021-06-19,5.399251,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,087,20,25.1,4958,2021-10-30,5.161582,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,970,6,11.97,4570,2013-11-03,5.070275,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,027,6,9.76,4648,2013-08-17,5.034199,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN047,Night,All box combinations,169,10,20.24,750,2024-04-19,5.00504,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,453,6,9.76,4594,2013-10-10,4.980187,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,544,7,11.97,4558,2013-11-15,4.974728,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN006,Midday|Evening|Night,Back Pair Straight,42,233,251,830,2025-08-06,4.971713,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,105,3,9.76,4268,2014-09-01,4.961498,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,759,5,9.76,4461,2014-02-20,4.949619,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,142,5,9.76,4432,2014-03-21,4.920613,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,333,15,25.1,4454,2022-04-16,4.856745,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,333,15,25.1,4454,2022-04-16,4.856745,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,181,6,11.97,4351,2014-06-10,4.851201,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN011,Midday|Evening|Night,Split Pair from Box Combination,11,20,,817,2025-08-10,4.835,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN034,Night,Front Pair Box,57,60,67.5,396,2025-04-08,4.821111,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,859,4,9.76,4225,2014-10-14,4.81603,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,011,6,11.97,4275,2014-08-25,4.775176,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,552,6,9.76,4389,2014-05-03,4.775145,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,490,10,11.97,4600,2013-10-04,4.766116,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,289,50,58.54,768,2024-04-01,4.753254,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,233,4,9.76,4134,2015-01-13,4.725011,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,405,7,11.97,4212,2014-10-27,4.628613,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,722,5,9.76,4107,2015-02-09,4.595547,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,342,22,25.1,4470,2022-04-10,4.593862,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,257,73,71.78,764,2024-04-05,4.582978,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,995,8,9.76,4400,2014-04-22,4.58123,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,340,5,11.97,3982,2015-06-14,4.56562,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,117,68,75.3,1489,2024-12-29,4.564302,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,754,22,25.1,4430,2022-04-24,4.553859,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,627,3,9.76,3856,2015-10-18,4.549413,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,680,5,9.76,4027,2015-04-30,4.51553,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN006,Midday|Evening|Night,Back Pair Straight,45,264,251,748,2025-09-02,4.49,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN023,Evening,Front Pair Straight,41,110,119.7,731,2024-05-08,4.486036,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN047,Night,All box combinations,004,2,10.12,1218,2023-01-07,4.45565,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,676,16,11.97,4419,2014-04-03,4.420477,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,230,8,11.97,4086,2015-03-02,4.419028,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,563,5,9.76,3889,2015-09-15,4.377502,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,084,8,9.76,4191,2014-11-17,4.372187,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,006,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,078,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,088,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,096,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,101,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,105,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,113,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,134,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,146,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,157,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,169,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,210,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,213,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,236,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,239,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,315,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,353,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,400,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,460,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,491,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,512,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,661,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,674,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,750,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,789,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,842,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,872,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,882,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,909,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,935,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,945,0,3.37,3374,,4.37,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,109,7,9.76,4081,2015-03-07,4.364623,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,052,14,25.1,3916,2022-10-12,4.358543,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN008,Midday|Evening|Night,Back Pair from Box Combination,07,71,,357,2026-01-10,4.32,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN044,Evening,All straight combinations,298,13,11.97,4316,2014-07-15,4.317443,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN005,Midday|Evening|Night,Front Pair from Box Combination,49,67,,356,2026-01-11,4.31,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN044,Evening,All straight combinations,976,15,11.97,4307,2014-07-24,4.30844,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,532,7,11.97,3865,2015-10-09,4.281497,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,570,9,9.76,4186,2014-11-22,4.264727,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN022,Evening,Any Position Box,44,347,335,249,2025-09-02,4.257042,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN042,Midday,All straight combinations,595,7,9.76,3969,2015-06-27,4.2526,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,060,8,9.76,4062,2015-03-26,4.24316,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,927,18,25.1,3954,2022-09-29,4.237184,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
pair,RUN026,Evening,Back Pair Straight,44,115,119.7,687,2024-06-21,4.224265,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
pair,RUN027,Evening,Back Pair Box,44,115,119.7,687,2024-06-21,4.224265,high lateness_ratio and/or below expected frequency,https://www.lotterypost.com/systems/pairs
combination,RUN001,Midday|Evening|Night,All straight combinations,147,20,25.1,4013,2022-09-10,4.216507,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,192,9,11.97,3948,2015-07-18,4.19744,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,566,8,11.97,3862,2015-10-12,4.194953,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,011,31,35.9,1345,2022-09-02,4.171715,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,134,161,150.56,690,2025-09-21,4.13923,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,394,14,25.1,3693,2022-12-25,4.135525,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,152,7,11.97,3712,2016-03-10,4.128446,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,474,10,11.97,3924,2015-08-11,4.08989,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,982,25,25.1,4064,2022-08-24,4.068308,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,525,1,3.37,3348,2017-03-09,4.047295,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN045,Evening,All box combinations,045,56,71.78,638,2024-08-09,4.046985,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,324,27,25.1,4038,2022-09-01,4.038322,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,036,51,58.54,651,2024-07-27,4.034267,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,267,10,9.76,4032,2015-04-25,4.032826,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN002,Midday|Evening|Night,All box combinations,146,161,150.56,672,2025-09-27,4.03125,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,961,15,25.1,3616,2023-01-20,4.018679,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,919,27,25.1,4016,2022-09-09,4.01632,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,089,5,9.76,3509,2016-09-29,3.997424,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,070,5,9.76,3500,2016-10-08,3.988422,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,523,9,11.97,3732,2016-02-19,3.981368,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN046,Night,All straight combinations,340,1,3.37,3276,2017-05-20,3.97538,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,166,8,11.97,3641,2016-05-20,3.97388,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,100,7,9.76,3678,2016-04-13,3.961541,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,187,8,11.97,3623,2016-06-07,3.955874,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN043,Midday,All box combinations,288,29,29.28,1312,2022-10-05,3.94637,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN001,Midday|Evening|Night,All straight combinations,882,25,25.1,3938,2022-10-05,3.942298,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN044,Evening,All straight combinations,814,12,11.97,3930,2015-08-05,3.931314,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
combination,RUN042,Midday,All straight combinations,553,9,9.76,3846,2015-10-28,3.924657,high recency_pressure and/or below expected frequency,https://www.lotterypost.com/systems/combinations
